"Bearing with
cylindrical bore
No.
(SKF)",Static capacity (kgf),Dynamic capacity (kgf),Max permissible speed (rpm),Dimensions,,Type
2301,300,915,16000,"d=12, D=37, B=17, r=1.5",,SELF-ALIGNING BALL BEARINGS (Contd)
2302,335,930,13000,"d=15, D=42, B=17, r=1.5",,SELF-ALIGNING BALL BEARINGS (Contd)
2303,415,1120,13000,"d=17, D=47, B=19, r=1.5",,SELF-ALIGNING BALL BEARINGS (Contd)
2304,550,1400,10000,"d=20, D=52, B=21, r=2",,SELF-ALIGNING BALL BEARINGS (Contd)
2305,765,1900,10000,"d=25, D=62, B=24, r=2",,SELF-ALIGNING BALL BEARINGS (Contd)
2306,1020,2450,8000,"d=30, D=72, B=27, r=2",,SELF-ALIGNING BALL BEARINGS (Contd)
2307,1320,3050,8000,"d=35, D=80, B=31, r=2.5",,SELF-ALIGNING BALL BEARINGS (Contd)
2308,1600,3550,6000,"d=40, D=90, B=33, r=2.5",,SELF-ALIGNING BALL BEARINGS (Contd)
2309,1960,4250,6000,"d=45, D=100, B=36, r=2.5",,SELF-ALIGNING BALL BEARINGS (Contd)
2310,2400,5000,5000,"d=50, D=110, B=40, r=3",,SELF-ALIGNING BALL BEARINGS (Contd)
2311,2850,5850,5000,"d=55, D=120, B=43, r=3",,SELF-ALIGNING BALL BEARINGS (Contd)
2312,3350,6800,4000,"d=60, D=130, B=46, r=3.5",,SELF-ALIGNING BALL BEARINGS (Contd)
2313,3900,7500,4000,"d=65, D=140, B=48, r=3.5",,SELF-ALIGNING BALL BEARINGS (Contd)
2314,4500,8500,4000,"d=70, D=150, B=51, r=3.5",,SELF-ALIGNING BALL BEARINGS (Contd)
2315,5200,9500,3000,"d=75, D=160, B=55, r=3.5",,SELF-ALIGNING BALL BEARINGS (Contd)
2316,5850,10600,3000,"d=80, D=170, B=58, r=3.5",,SELF-ALIGNING BALL BEARINGS (Contd)
2317,6200,11000,2500,"d=85, D=180, B=60, r=4",,SELF-ALIGNING BALL BEARINGS (Contd)
2318,6950,11800,2500,"d=90, D=190, B=64, r=4",,SELF-ALIGNING BALL BEARINGS (Contd)
